Current lr 0.01
Epoch:[0][0/12500]	Time 24.217 (24.217)	Data 17.303 (17.303)	Loss 0.693 (0.693)	Accuracy 0.470 (0.470)	Precison 0.098 (0.098)	Recall 0.245 (0.245)
Epoch:[0][40/12500]	Time 0.076 (0.890)	Data 0.000 (0.588)	Loss 0.412 (0.399)	Accuracy 0.769 (0.816)	Precison 0.000 (0.005)	Recall 0.000 (0.006)
Epoch:[0][80/12500]	Time 0.091 (0.680)	Data 0.000 (0.483)	Loss 0.184 (0.347)	Accuracy 0.921 (0.828)	Precison 0.000 (0.003)	Recall 0.000 (0.003)
Epoch:[0][120/12500]	Time 0.075 (0.633)	Data 0.000 (0.473)	Loss 0.254 (0.321)	Accuracy 0.827 (0.830)	Precison 1.000 (0.208)	Recall 0.206 (0.023)
Epoch:[0][160/12500]	Time 0.096 (0.606)	Data 0.000 (0.463)	Loss 0.179 (0.290)	Accuracy 0.906 (0.848)	Precison 1.000 (0.398)	Recall 0.330 (0.113)
Epoch:[0][200/12500]	Time 0.086 (0.584)	Data 0.000 (0.452)	Loss 0.123 (0.264)	Accuracy 0.978 (0.868)	Precison 1.000 (0.518)	Recall 0.833 (0.233)
Epoch:[0][240/12500]	Time 0.076 (0.569)	Data 0.000 (0.445)	Loss 0.068 (0.239)	Accuracy 0.991 (0.885)	Precison 1.000 (0.597)	Recall 0.919 (0.333)
Epoch:[0][280/12500]	Time 0.084 (0.572)	Data 0.000 (0.453)	Loss 0.129 (0.217)	Accuracy 0.942 (0.898)	Precison 1.000 (0.654)	Recall 0.695 (0.408)
Epoch:[0][320/12500]	Time 0.079 (0.557)	Data 0.001 (0.441)	Loss 0.087 (0.199)	Accuracy 0.973 (0.909)	Precison 0.884 (0.696)	Recall 0.914 (0.470)
Epoch:[0][360/12500]	Time 0.090 (0.557)	Data 0.000 (0.444)	Loss 0.039 (0.184)	Accuracy 0.994 (0.917)	Precison 0.994 (0.728)	Recall 0.954 (0.519)
Epoch:[0][400/12500]	Time 0.086 (0.548)	Data 0.000 (0.436)	Loss 0.047 (0.171)	Accuracy 0.993 (0.924)	Precison 0.988 (0.754)	Recall 0.947 (0.560)
Epoch:[0][440/12500]	Time 0.074 (0.552)	Data 0.000 (0.443)	Loss 0.047 (0.160)	Accuracy 0.993 (0.930)	Precison 0.988 (0.775)	Recall 0.948 (0.594)
