Current lr 0.01
Epoch:[0][0/28412]	Time 44.578 (44.578)	Data 42.773 (42.773)	Loss 0.694 (0.694)	Accuracy 0.506 (0.506)	Precison 0.059 (0.059)	Recall 0.572 (0.572)
Epoch:[0][200/28412]	Time 0.192 (1.850)	Data 0.000 (1.637)	Loss 0.098 (0.140)	Accuracy 0.953 (0.945)	Precison 0.000 (0.000)	Recall 0.000 (0.003)
Epoch:[0][400/28412]	Time 18.103 (2.028)	Data 17.889 (1.815)	Loss 0.053 (0.111)	Accuracy 0.989 (0.951)	Precison 0.991 (0.326)	Recall 0.764 (0.100)
Epoch:[0][600/28412]	Time 0.191 (2.081)	Data 0.000 (1.866)	Loss 0.032 (0.088)	Accuracy 0.994 (0.963)	Precison 0.996 (0.547)	Recall 0.928 (0.318)
Epoch:[0][800/28412]	Time 13.186 (2.090)	Data 12.803 (1.876)	Loss 0.026 (0.072)	Accuracy 0.991 (0.971)	Precison 0.988 (0.658)	Recall 0.860 (0.460)
Epoch:[0][1000/28412]	Time 0.202 (2.101)	Data 0.000 (1.888)	Loss 0.013 (0.061)	Accuracy 0.996 (0.976)	Precison 1.000 (0.724)	Recall 0.922 (0.551)
Epoch:[0][1200/28412]	Time 0.188 (1.991)	Data 0.000 (1.782)	Loss 0.034 (0.054)	Accuracy 0.985 (0.979)	Precison 0.923 (0.767)	Recall 0.780 (0.615)
Epoch:[0][1400/28412]	Time 0.199 (1.890)	Data 0.013 (1.683)	Loss 0.016 (0.048)	Accuracy 0.997 (0.982)	Precison 0.990 (0.798)	Recall 0.976 (0.661)
Epoch:[0][1600/28412]	Time 0.187 (1.889)	Data 0.000 (1.680)	Loss 0.015 (0.044)	Accuracy 0.997 (0.984)	Precison 0.994 (0.822)	Recall 0.949 (0.697)
Epoch:[0][1800/28412]	Time 0.193 (1.922)	Data 0.000 (1.712)	Loss 0.016 (0.040)	Accuracy 0.996 (0.985)	Precison 0.951 (0.840)	Recall 0.951 (0.725)
Epoch:[0][2000/28412]	Time 0.186 (1.936)	Data 0.000 (1.725)	Loss 0.008 (0.037)	Accuracy 0.998 (0.986)	Precison 1.000 (0.854)	Recall 0.966 (0.748)
Epoch:[0][2200/28412]	Time 0.192 (1.952)	Data 0.000 (1.740)	Loss 0.010 (0.035)	Accuracy 0.998 (0.987)	Precison 0.994 (0.865)	Recall 0.961 (0.766)
Epoch:[0][2400/28412]	Time 0.180 (1.949)	Data 0.000 (1.737)	Loss 0.005 (0.033)	Accuracy 0.999 (0.988)	Precison 1.000 (0.875)	Recall 0.989 (0.782)
Epoch:[0][2600/28412]	Time 0.188 (1.900)	Data 0.000 (1.689)	Loss 0.007 (0.031)	Accuracy 0.999 (0.989)	Precison 0.993 (0.883)	Recall 0.979 (0.796)
Epoch:[0][2800/28412]	Time 0.178 (1.854)	Data 0.000 (1.643)	Loss 0.008 (0.030)	Accuracy 0.998 (0.989)	Precison 0.994 (0.890)	Recall 0.985 (0.808)
Epoch:[0][3000/28412]	Time 0.253 (1.815)	Data 0.000 (1.605)	Loss 0.008 (0.028)	Accuracy 0.998 (0.990)	Precison 1.000 (0.896)	Recall 0.956 (0.818)
Epoch:[0][3200/28412]	Time 0.178 (1.776)	Data 0.000 (1.566)	Loss 0.010 (0.027)	Accuracy 0.997 (0.990)	Precison 1.000 (0.901)	Recall 0.909 (0.827)
Epoch:[0][3400/28412]	Time 0.228 (1.746)	Data 0.001 (1.537)	Loss 0.007 (0.026)	Accuracy 0.998 (0.991)	Precison 0.993 (0.906)	Recall 0.968 (0.835)
Epoch:[0][3600/28412]	Time 0.253 (1.716)	Data 0.013 (1.508)	Loss 0.012 (0.025)	Accuracy 0.997 (0.991)	Precison 0.973 (0.910)	Recall 0.968 (0.842)
Epoch:[0][3800/28412]	Time 0.200 (1.692)	Data 0.000 (1.485)	Loss 0.009 (0.025)	Accuracy 0.996 (0.991)	Precison 1.000 (0.914)	Recall 0.912 (0.849)
Epoch:[0][4000/28412]	Time 0.175 (1.669)	Data 0.000 (1.461)	Loss 0.012 (0.024)	Accuracy 0.997 (0.992)	Precison 0.976 (0.917)	Recall 0.938 (0.855)
Epoch:[0][4200/28412]	Time 0.187 (1.650)	Data 0.000 (1.443)	Loss 0.029 (0.023)	Accuracy 0.992 (0.992)	Precison 0.874 (0.920)	Recall 0.940 (0.860)
Epoch:[0][4400/28412]	Time 0.200 (1.630)	Data 0.001 (1.424)	Loss 0.007 (0.023)	Accuracy 0.998 (0.992)	Precison 0.997 (0.923)	Recall 0.984 (0.864)
Epoch:[0][4600/28412]	Time 0.178 (1.613)	Data 0.000 (1.407)	Loss 0.009 (0.022)	Accuracy 0.997 (0.992)	Precison 1.000 (0.925)	Recall 0.931 (0.869)
Epoch:[0][4800/28412]	Time 0.177 (1.595)	Data 0.000 (1.390)	Loss 0.011 (0.021)	Accuracy 0.998 (0.993)	Precison 0.990 (0.928)	Recall 0.950 (0.873)
Epoch:[0][5000/28412]	Time 0.233 (1.583)	Data 0.000 (1.378)	Loss 0.007 (0.021)	Accuracy 0.998 (0.993)	Precison 0.992 (0.930)	Recall 0.968 (0.877)
Epoch:[0][5200/28412]	Time 0.166 (1.568)	Data 0.000 (1.364)	Loss 0.006 (0.021)	Accuracy 0.998 (0.993)	Precison 0.987 (0.932)	Recall 0.983 (0.880)
Epoch:[0][5400/28412]	Time 0.182 (1.557)	Data 0.000 (1.353)	Loss 0.008 (0.020)	Accuracy 0.998 (0.993)	Precison 0.989 (0.934)	Recall 0.983 (0.883)
Epoch:[0][5600/28412]	Time 0.175 (1.543)	Data 0.000 (1.340)	Loss 0.012 (0.020)	Accuracy 0.997 (0.993)	Precison 0.983 (0.935)	Recall 0.967 (0.886)
Epoch:[0][5800/28412]	Time 0.729 (1.534)	Data 0.549 (1.330)	Loss 0.009 (0.019)	Accuracy 0.996 (0.993)	Precison 0.944 (0.937)	Recall 0.872 (0.889)
Epoch:[0][6000/28412]	Time 0.180 (1.523)	Data 0.000 (1.320)	Loss 0.005 (0.019)	Accuracy 0.998 (0.994)	Precison 1.000 (0.939)	Recall 0.955 (0.892)
Epoch:[0][6200/28412]	Time 0.197 (1.515)	Data 0.018 (1.312)	Loss 0.003 (0.019)	Accuracy 0.999 (0.994)	Precison 1.000 (0.940)	Recall 0.990 (0.894)
Epoch:[0][6400/28412]	Time 0.265 (1.505)	Data 0.001 (1.302)	Loss 0.009 (0.018)	Accuracy 0.997 (0.994)	Precison 0.992 (0.941)	Recall 0.940 (0.896)
Epoch:[0][6600/28412]	Time 0.272 (1.498)	Data 0.013 (1.295)	Loss 0.009 (0.018)	Accuracy 0.998 (0.994)	Precison 1.000 (0.942)	Recall 0.960 (0.899)
Epoch:[0][6800/28412]	Time 0.184 (1.489)	Data 0.000 (1.287)	Loss 0.010 (0.018)	Accuracy 0.997 (0.994)	Precison 0.962 (0.943)	Recall 0.968 (0.901)
Epoch:[0][7000/28412]	Time 0.202 (1.484)	Data 0.001 (1.281)	Loss 0.006 (0.018)	Accuracy 0.998 (0.994)	Precison 0.987 (0.945)	Recall 0.991 (0.903)
Epoch:[0][7200/28412]	Time 0.176 (1.475)	Data 0.000 (1.273)	Loss 0.002 (0.017)	Accuracy 1.000 (0.994)	Precison 1.000 (0.946)	Recall 0.996 (0.904)
Epoch:[0][7400/28412]	Time 0.233 (1.470)	Data 0.000 (1.268)	Loss 0.003 (0.017)	Accuracy 1.000 (0.994)	Precison 1.000 (0.947)	Recall 0.995 (0.906)
Epoch:[0][7600/28412]	Time 0.206 (1.464)	Data 0.013 (1.262)	Loss 0.010 (0.017)	Accuracy 0.996 (0.994)	Precison 0.995 (0.947)	Recall 0.943 (0.908)
